ticker,name,fdate,pdate,price
AAPL,Apple Inc,1976-04-11,2022-11-22,150.03
GOOG,Alphabet Inc,1998-09-04,2022-11-22,97.33
AMZN,Amazon.com Inc,1994-07-05,2022-11-22,93.20
COST,Costco,1976-07-12,2022-11-22,531.95
AAPL,Apple Inc,1976-04-11,2022-11-16,148.79
GOOG,Alphabet Inc,1998-09-04,2022-11-16,98.99
AMZN,Amazon.com Inc,1994-07-05,2022-11-16,97.12
COST,Costco,1976-07-12,2022-11-16,524.11
